formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms
31a10296-4ad2-49b5-acc3-3c87ca35b7df,Badan Nasional Penanggulangan Terorisme,CPNS,UMUM,ANALIS KEBIJAKAN AHLI PERTAMA,"Badan Nasional Penanggulangan Terorisme | Deputi Bidang Pencegahan, Perlindungan dan Deradikalisasi | Direktorat Deradikalisasi | Subdirektorat Bina Lembaga Pemasyarakatan Khusus Teroris",1,0,6000000,8000000,30
088c3cac-c8c5-4775-b322-21dfcfdbcdd2,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ANALIS KEBIJAKAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | DEPUTI BIDANG PENEMPATAN DAN PELINDUNGAN KAWASAN EROPA DAN TIMUR TENGAH | DIREKTORAT SISTEM DAN STRATEGI PENEMPATAN DAN PELINDUNGAN KAWASAN EROPA DAN TIMUR TENGAH,2,1,6862100,7746358,311
7980e585-a33e-4fb1-9fcc-bff894a56310,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ANALIS KEBIJAKAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | DEPUTI BIDANG PENEMPATAN DAN PELINDUNGAN KAWASAN ASIA DAN AFRIKA | DIREKTORAT SISTEM DAN STRATEGI PENEMPATAN DAN PELINDUNGAN KAWASAN ASIA DAN AFRIKA,1,1,6862100,7746358,51
8a02849d91ab929d0191ac8b65900c2a,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENGEMBANG TAFSIR AL QURAN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",5,1,2785700,6104700,1
8a038450919cdb3c0191a74442cb1c91,Kementerian Agama,CPNS,UMUM,PENGEMBANG TAFSIR AL QURAN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",29,1,2785700,6104700,133
8a028487919cdb310191a62a5861080f,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",60,1,2785700,6104700,291
8a02849d91ab929d0191ac953dd70e00,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",8,1,2785700,6104700,3
8a02849d91ab929d0191accbea8314e0,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a02849d91ab929d0191accc88d1151d,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a038450919cdb3c0191a78af4091fa7,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,6
088c3cac-c8c5-4775-b322-21dfcfdbcdd2,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ANALIS KEBIJAKAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | DEPUTI BIDANG PENEMPATAN DAN PELINDUNGAN KAWASAN EROPA DAN TIMUR TENGAH | DIREKTORAT SISTEM DAN STRATEGI PENEMPATAN DAN PELINDUNGAN KAWASAN EROPA DAN TIMUR TENGAH,2,1,6862100,7746358,311
7980e585-a33e-4fb1-9fcc-bff894a56310,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ANALIS KEBIJAKAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | DEPUTI BIDANG PENEMPATAN DAN PELINDUNGAN KAWASAN ASIA DAN AFRIKA | DIREKTORAT SISTEM DAN STRATEGI PENEMPATAN DAN PELINDUNGAN KAWASAN ASIA DAN AFRIKA,1,1,6862100,7746358,51
8a02849d91ab929d0191ac8b65900c2a,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENGEMBANG TAFSIR AL QURAN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",5,1,2785700,6104700,1
8a038450919cdb3c0191a74442cb1c91,Kementerian Agama,CPNS,UMUM,PENGEMBANG TAFSIR AL QURAN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",29,1,2785700,6104700,133
8a028487919cdb310191a62a5861080f,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",60,1,2785700,6104700,291
8a02849d91ab929d0191ac953dd70e00,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",8,1,2785700,6104700,3
8a02849d91ab929d0191accbea8314e0,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a02849d91ab929d0191accc88d1151d,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a038450919cdb3c0191a78af4091fa7,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,6
8a028487919cdb310191a7f6e7c42181,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA DAERAH ISTIMEWA YOGYAKARTA,81,1,2785700,6104700,1145
7980e585-a33e-4fb1-9fcc-bff894a56310,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ANALIS KEBIJAKAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | DEPUTI BIDANG PENEMPATAN DAN PELINDUNGAN KAWASAN ASIA DAN AFRIKA | DIREKTORAT SISTEM DAN STRATEGI PENEMPATAN DAN PELINDUNGAN KAWASAN ASIA DAN AFRIKA,1,1,6862100,7746358,51
8a02849d91ab929d0191ac8b65900c2a,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENGEMBANG TAFSIR AL QURAN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",5,1,2785700,6104700,1
8a038450919cdb3c0191a74442cb1c91,Kementerian Agama,CPNS,UMUM,PENGEMBANG TAFSIR AL QURAN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",29,1,2785700,6104700,133
8a028487919cdb310191a62a5861080f,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",60,1,2785700,6104700,291
8a02849d91ab929d0191ac953dd70e00,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",8,1,2785700,6104700,3
8a02849d91ab929d0191accbea8314e0,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a02849d91ab929d0191accc88d1151d,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a038450919cdb3c0191a78af4091fa7,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,6
8a028487919cdb310191a7f6e7c42181,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA DAERAH ISTIMEWA YOGYAKARTA,81,1,2785700,6104700,1145
8a028487919cdb310191a7faf04021ca,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI JAWA TIMUR,123,1,2785700,6104700,2977
8a02849d91ab929d0191ac8b65900c2a,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENGEMBANG TAFSIR AL QURAN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",5,1,2785700,6104700,1
8a038450919cdb3c0191a74442cb1c91,Kementerian Agama,CPNS,UMUM,PENGEMBANG TAFSIR AL QURAN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",29,1,2785700,6104700,133
8a028487919cdb310191a62a5861080f,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",60,1,2785700,6104700,291
8a02849d91ab929d0191ac953dd70e00,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",8,1,2785700,6104700,3
8a02849d91ab929d0191accbea8314e0,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a02849d91ab929d0191accc88d1151d,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a038450919cdb3c0191a78af4091fa7,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,6
8a028487919cdb310191a7f6e7c42181,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA DAERAH ISTIMEWA YOGYAKARTA,81,1,2785700,6104700,1145
8a028487919cdb310191a7faf04021ca,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI JAWA TIMUR,123,1,2785700,6104700,2977
8a028487919cdb310191a7fc6f40223c,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI MALUKU UTARA,3,1,2785700,6104700,71
8a038450919cdb3c0191a74442cb1c91,Kementerian Agama,CPNS,UMUM,PENGEMBANG TAFSIR AL QURAN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",29,1,2785700,6104700,133
8a028487919cdb310191a62a5861080f,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",60,1,2785700,6104700,291
8a02849d91ab929d0191ac953dd70e00,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",8,1,2785700,6104700,3
8a02849d91ab929d0191accbea8314e0,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a02849d91ab929d0191accc88d1151d,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a038450919cdb3c0191a78af4091fa7,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,6
8a028487919cdb310191a7f6e7c42181,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA DAERAH ISTIMEWA YOGYAKARTA,81,1,2785700,6104700,1145
8a028487919cdb310191a7faf04021ca,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI JAWA TIMUR,123,1,2785700,6104700,2977
8a028487919cdb310191a7fc6f40223c,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI MALUKU UTARA,3,1,2785700,6104700,71
8a028487919cdb310191a7fffb2c2253,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI SULAWESI UTARA,10,1,2785700,6104700,112
8a028487919cdb310191a62a5861080f,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",60,1,2785700,6104700,291
8a02849d91ab929d0191ac953dd70e00,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",8,1,2785700,6104700,3
8a02849d91ab929d0191accbea8314e0,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a02849d91ab929d0191accc88d1151d,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a038450919cdb3c0191a78af4091fa7,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,6
8a028487919cdb310191a7f6e7c42181,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA DAERAH ISTIMEWA YOGYAKARTA,81,1,2785700,6104700,1145
8a028487919cdb310191a7faf04021ca,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI JAWA TIMUR,123,1,2785700,6104700,2977
8a028487919cdb310191a7fc6f40223c,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI MALUKU UTARA,3,1,2785700,6104700,71
8a028487919cdb310191a7fffb2c2253,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI SULAWESI UTARA,10,1,2785700,6104700,112
8a028487919cdb310191a8441b9e23bc,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI JAWA BARAT,264,1,2785700,6104700,3975
8a02849d91ab929d0191ac953dd70e00,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",8,1,2785700,6104700,3
8a02849d91ab929d0191accbea8314e0,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a02849d91ab929d0191accc88d1151d,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a038450919cdb3c0191a78af4091fa7,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,6
8a028487919cdb310191a7f6e7c42181,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA DAERAH ISTIMEWA YOGYAKARTA,81,1,2785700,6104700,1145
8a028487919cdb310191a7faf04021ca,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI JAWA TIMUR,123,1,2785700,6104700,2977
8a028487919cdb310191a7fc6f40223c,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI MALUKU UTARA,3,1,2785700,6104700,71
8a028487919cdb310191a7fffb2c2253,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI SULAWESI UTARA,10,1,2785700,6104700,112
8a028487919cdb310191a8441b9e23bc,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI JAWA BARAT,264,1,2785700,6104700,3975
8a028487919cdb310191a862f3b324c4,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI JAWA TENGAH,105,1,2785700,6104700,3611
8a02849d91ab929d0191accbea8314e0,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a02849d91ab929d0191accc88d1151d,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,0
8a038450919cdb3c0191a78af4091fa7,Kementerian Agama,CPNS,UMUM,PENTASHIH MUSHAF AL-QUR`AN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,1,1,2785700,6104700,6
8a028487919cdb310191a7f6e7c42181,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA DAERAH ISTIMEWA YOGYAKARTA,81,1,2785700,6104700,1145
8a028487919cdb310191a7faf04021ca,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI JAWA TIMUR,123,1,2785700,6104700,2977
8a028487919cdb310191a7fc6f40223c,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI MALUKU UTARA,3,1,2785700,6104700,71
8a028487919cdb310191a7fffb2c2253,Kementerian Agama,CPNS,UMUM,PENYULUH AGAMA AHLI PERTAMA - PENYULUH AGAMA ISLAM,KANWIL KEMENTERIAN AGAMA PROVINSI SULAWESI UTARA,10,1,2785700,6104700,112
